date,weekday,wd_num,val,poc,vah,va_range,prof_hi,prof_lo,prof_range,prof_bars,ny_open_price,ny_open_pos,am_hi,am_lo,am_range,pm_open,pm_close,pm_hi,pm_lo,pm_range,pm_dir,pm_open_pos,touches_vah,breaks_vah,vah_bounce,touches_val,breaks_val,val_bounce,touches_poc,close_above_va,close_inside,close_below_va,trend,ema200
2026-01-05,LUNES,0,25486.2,25553.4,25591.8,105.6,25647.0,25455.0,192.0,38,25642.75,ABOVE_VA,25690.5,25538.75,151.8,25665.25,25587.0,25708.0,25549.5,158.5,BEARISH,ABOVE_VA,True,True,False,False,False,False,True,False,True,False,BULL,23604.21
2026-01-06,MARTES,1,25580.7,25592.93,25649.18,68.5,25674.25,25527.5,146.8,38,25635.75,INSIDE_VA,25779.0,25608.0,171.0,25687.0,25834.75,25837.75,25645.5,192.2,BULLISH,ABOVE_VA,True,True,False,False,False,False,False,True,False,False,BULL,23626.44
2026-01-07,MIÉRCOLES,2,25758.83,25772.77,25790.35,31.5,25799.75,25727.0,72.8,38,25790.25,INSIDE_VA,25911.25,25771.0,140.2,25905.0,25834.25,25996.25,25814.5,181.8,BEARISH,ABOVE_VA,True,True,False,False,False,False,False,True,False,False,BULL,23646.95
2026-01-08,JUEVES,3,25748.32,25774.22,25798.88,50.6,25818.0,25670.0,148.0,38,25786.0,INSIDE_VA,25802.5,25569.0,233.5,25684.25,25683.0,25703.75,25583.75,120.0,NEUTRAL,BELOW_VA,False,False,False,True,True,False,False,False,False,True,BULL,23669.75
2026-01-09,VIERNES,4,25711.91,25729.16,25803.91,92.0,25824.75,25652.25,172.5,38,25714.25,INSIDE_VA,25879.0,25615.5,263.5,25811.75,25932.75,25985.5,25810.75,174.8,BULLISH,INSIDE_VA,True,True,False,False,False,False,False,True,False,False,MIXED,25729.16
2026-01-12,LUNES,0,25696.25,25738.58,25754.86,58.6,25763.0,25632.75,130.2,38,25746.25,INSIDE_VA,25933.5,25743.5,190.0,25915.5,25952.5,26020.5,25901.0,119.5,BULLISH,ABOVE_VA,True,True,False,False,False,False,False,True,False,False,BULL,23714.53
2026-01-13,MARTES,1,25873.43,25911.18,25967.81,94.4,26045.5,25871.25,174.2,38,25950.25,INSIDE_VA,26042.75,25809.25,233.5,25894.5,25903.75,26025.75,25803.25,222.5,NEUTRAL,INSIDE_VA,True,True,False,True,True,False,True,False,True,False,BULL,23733.6
2026-01-14,MIÉRCOLES,2,25714.07,25759.32,25801.55,87.5,25882.25,25701.25,181.0,38,25739.75,INSIDE_VA,25790.25,25469.5,320.8,25491.75,25636.75,25643.5,25420.75,222.8,BULLISH,BELOW_VA,False,False,False,True,True,False,False,False,False,True,BULL,23753.22
2026-01-15,JUEVES,3,25726.44,25820.37,25949.53,223.1,25951.0,25598.75,352.2,38,25924.75,INSIDE_VA,25952.75,25803.25,149.5,25884.5,25719.25,25938.0,25676.5,261.5,BEARISH,INSIDE_VA,False,False,False,True,True,False,True,False,False,True,BULL,23772.48
2026-01-16,VIERNES,4,25808.22,25826.78,25842.59,34.4,25878.0,25795.5,82.5,38,25868.0,ABOVE_VA,25891.0,25591.5,299.5,25680.25,25684.75,25752.75,25654.0,98.8,NEUTRAL,BELOW_VA,False,False,False,True,True,False,False,False,False,True,MIXED,25826.78
2026-01-20,MARTES,1,25175.88,25234.05,25278.99,103.1,25412.5,25095.25,317.2,38,25242.75,INSIDE_VA,25417.0,25233.75,183.2,25363.0,25141.5,25429.75,25098.0,331.8,BEARISH,ABOVE_VA,True,True,False,True,True,False,True,False,False,True,MIXED,23802.75
2026-01-21,MIÉRCOLES,2,25090.05,25216.25,25245.38,155.3,25258.0,25025.0,233.0,38,25197.0,INSIDE_VA,25488.0,25127.5,360.5,25469.75,25471.0,25653.5,25142.0,511.5,NEUTRAL,ABOVE_VA,True,True,False,False,False,False,True,True,False,False,MIXED,23821.21
2026-01-22,JUEVES,3,25651.22,25693.88,25738.68,87.5,25739.75,25483.75,256.0,38,25729.0,INSIDE_VA,25731.75,25536.75,195.0,25605.25,25663.0,25723.5,25584.75,138.8,BULLISH,BELOW_VA,False,False,False,True,True,False,True,False,True,False,BULL,23840.29
2026-01-23,VIERNES,4,25561.77,25622.33,25631.89,70.1,25731.5,25540.25,191.2,38,25608.0,INSIDE_VA,25827.5,25562.5,265.0,25826.5,25734.5,25845.75,25683.0,162.8,BEARISH,ABOVE_VA,True,True,False,False,False,False,False,True,False,False,MIXED,25622.33
2026-01-26,LUNES,0,25648.2,25688.62,25723.47,75.3,25749.25,25582.0,167.2,38,25748.5,ABOVE_VA,25898.5,25704.25,194.2,25881.0,25844.5,25936.5,25840.5,96.0,BEARISH,ABOVE_VA,True,True,False,False,False,False,False,True,False,False,BULL,23882.29
2026-01-27,MARTES,1,25983.15,26002.78,26013.55,30.4,26043.0,25967.0,76.0,38,25982.75,INSIDE_VA,26098.5,25917.25,181.2,26078.5,26075.5,26114.25,26038.0,76.2,NEUTRAL,ABOVE_VA,True,True,False,False,False,False,False,True,False,False,BULL,23904.91
2026-01-28,MIÉRCOLES,2,26265.65,26278.07,26318.46,52.8,26349.0,26224.75,124.2,38,26253.0,BELOW_VA,26301.0,26159.5,141.5,26162.5,26150.75,26212.25,26100.75,111.5,NEUTRAL,BELOW_VA,False,False,False,True,True,False,False,False,False,True,BULL,23925.75
2026-01-29,JUEVES,3,26132.62,26199.44,26234.09,101.5,26280.5,26132.0,148.5,38,26133.25,INSIDE_VA,26175.0,25536.0,639.0,25576.75,25994.25,26020.0,25538.0,482.0,BULLISH,BELOW_VA,False,False,False,True,True,False,False,False,False,True,BULL,23943.11
2026-01-30,VIERNES,4,25744.5,25844.57,25882.89,138.4,25905.25,25649.75,255.5,38,25833.5,INSIDE_VA,25940.0,25770.75,169.2,25842.0,25672.75,25869.0,25568.75,300.2,BEARISH,INSIDE_VA,False,False,False,True,True,False,True,False,False,True,MIXED,25844.57
2026-02-02,LUNES,0,25316.35,25457.03,25545.72,229.4,25547.25,25180.25,367.0,38,25542.5,INSIDE_VA,25912.25,25539.75,372.5,25840.25,25856.25,25949.5,25803.0,146.5,NEUTRAL,ABOVE_VA,True,True,False,False,False,False,False,True,False,False,MIXED,23976.91
2026-02-03,MARTES,1,25954.34,25986.48,26001.25,46.9,26027.75,25923.5,104.2,38,25934.0,BELOW_VA,25952.25,25470.25,482.0,25617.5,25446.25,25619.75,25219.0,400.8,BEARISH,BELOW_VA,False,False,False,True,True,False,False,False,False,True,BULL,23987.08
2026-02-04,MIÉRCOLES,2,25368.37,25447.22,25472.46,104.1,25514.25,25325.0,189.2,38,25385.5,INSIDE_VA,25390.0,25108.0,282.0,25152.25,24996.5,25171.5,24783.5,388.0,BEARISH,BELOW_VA,False,False,False,True,True,False,False,False,False,True,MIXED,23993.69
2026-02-05,JUEVES,3,24709.23,24775.14,25024.89,315.7,25123.75,24707.5,416.2,38,24770.25,INSIDE_VA,24960.75,24550.0,410.8,24634.25,24638.75,24887.5,24543.25,344.2,NEUTRAL,BELOW_VA,False,False,False,True,True,False,True,False,False,True,MIXED,24005.32
2026-02-06,VIERNES,4,24650.16,24805.03,24871.41,221.2,24873.25,24430.75,442.5,38,24760.5,INSIDE_VA,24984.0,24700.75,283.2,24895.25,25148.0,25222.0,24880.5,341.5,BULLISH,ABOVE_VA,True,True,False,False,False,False,False,True,False,False,MIXED,24805.03
2026-02-09,LUNES,0,25030.13,25079.87,25168.53,138.4,25228.0,24968.5,259.5,38,25057.75,INSIDE_VA,25329.0,24955.5,373.5,25311.5,25338.5,25428.75,25305.75,123.0,BULLISH,ABOVE_VA,True,True,False,False,False,False,False,True,False,False,MIXED,24030.68
2026-02-10,MARTES,1,25323.65,25352.84,25384.2,60.6,25421.5,25291.75,129.8,38,25376.25,INSIDE_VA,25447.25,25255.75,191.5,25375.0,25219.0,25400.25,25198.25,202.0,BEARISH,INSIDE_VA,True,True,False,True,True,False,True,False,False,True,MIXED,24043.2
2026-02-11,MIÉRCOLES,2,25160.26,25244.34,25359.0,198.7,25452.0,25146.25,305.8,38,25418.75,ABOVE_VA,25465.25,25058.25,407.0,25244.25,25278.25,25360.5,25141.75,218.8,BULLISH,INSIDE_VA,True,False,True,True,True,False,True,False,True,False,MIXED,24050.41
2026-02-12,JUEVES,3,25329.79,25348.96,25373.44,43.6,25419.75,25292.0,127.8,38,25346.25,INSIDE_VA,25392.5,25006.5,386.0,25011.0,24762.75,25031.75,24721.5,310.2,BEARISH,BELOW_VA,False,False,False,True,True,False,False,False,False,True,MIXED,24057.9
2026-02-13,VIERNES,4,24680.48,24729.48,24778.48,98.0,24823.25,24620.5,202.8,38,24743.0,INSIDE_VA,24928.5,24578.75,349.8,24811.0,24802.75,24995.5,24731.75,263.8,NEUTRAL,ABOVE_VA,True,True,False,False,False,False,True,True,False,False,MIXED,24729.48
2026-02-17,MARTES,1,24583.23,24609.33,24666.73,83.5,24726.75,24518.0,208.8,38,24659.25,INSIDE_VA,24815.75,24449.25,366.5,24599.25,24776.75,24889.75,24593.25,296.5,BULLISH,INSIDE_VA,True,True,False,False,False,False,True,True,False,False,MIXED,24073.83
2026-02-18,MIÉRCOLES,2,24841.46,24900.31,24940.43,99.0,24962.5,24802.0,160.5,38,24809.5,BELOW_VA,25099.75,24752.0,347.8,25086.5,24957.5,25128.25,24856.0,272.2,BEARISH,ABOVE_VA,True,True,False,False,False,False,True,True,False,False,MIXED,24081.64
2026-02-19,JUEVES,3,24799.07,24863.07,24929.2,130.1,25054.0,24798.0,256.0,38,24833.75,INSIDE_VA,24956.5,24763.0,193.5,24925.0,24863.5,24959.5,24749.0,210.5,BEARISH,INSIDE_VA,True,True,False,True,True,False,True,False,True,False,MIXED,24091.45
2026-02-20,VIERNES,4,24779.55,24942.75,24983.55,204.0,24984.75,24696.75,288.0,38,24715.25,BELOW_VA,25127.0,24678.5,448.5,25118.25,25074.0,25139.5,24879.25,260.2,BEARISH,ABOVE_VA,True,True,False,False,False,False,True,True,False,False,MIXED,24942.75
2026-02-23,LUNES,0,24893.33,24911.36,24978.59,85.3,25004.0,24807.25,196.8,38,24981.0,INSIDE_VA,25040.0,24738.75,301.2,24743.25,24768.0,24820.25,24668.0,152.2,BULLISH,BELOW_VA,False,False,False,True,True,False,False,False,False,True,MIXED,24107.39
2026-02-24,MARTES,1,24803.96,24840.45,24860.46,56.5,24902.25,24761.0,141.2,38,24805.0,INSIDE_VA,25031.0,24694.5,336.5,24976.5,25029.5,25078.75,24969.25,109.5,BULLISH,ABOVE_VA,True,True,False,False,False,False,False,True,False,False,MIXED,24120.07
2026-02-25,MIÉRCOLES,2,25076.83,25135.5,25176.83,100.0,25177.5,25017.5,160.0,38,25160.5,INSIDE_VA,25361.75,25156.75,205.0,25295.25,25383.25,25396.5,25282.75,113.8,BULLISH,ABOVE_VA,True,True,False,False,False,False,False,True,False,False,MIXED,24129.63
2026-02-26,JUEVES,3,25347.73,25378.47,25393.84,46.1,25415.25,25283.5,131.8,38,25341.25,INSIDE_VA,25342.0,24861.75,480.2,24999.5,25083.25,25099.0,24888.75,210.2,BULLISH,BELOW_VA,False,False,False,True,True,False,False,False,False,True,BULL,24138.34
2026-02-27,VIERNES,4,24795.02,24838.23,25008.52,213.5,25098.75,24793.75,305.0,38,24815.25,INSIDE_VA,25017.25,24782.0,235.2,24983.5,24998.25,25036.75,24873.0,163.8,NEUTRAL,INSIDE_VA,True,True,False,False,False,False,False,False,True,False,MIXED,24838.23
2026-03-02,LUNES,0,24583.03,24646.41,24736.59,153.6,24769.5,24477.0,292.5,38,24644.75,INSIDE_VA,24958.5,24605.0,353.5,24923.75,25021.75,25101.0,24852.0,249.0,BULLISH,ABOVE_VA,True,True,False,False,False,False,False,True,False,False,MIXED,24153.22
2026-03-03,MARTES,1,24421.64,24479.01,24589.94,168.3,24829.0,24370.0,459.0,38,24534.5,INSIDE_VA,24661.25,24352.0,309.2,24447.25,24756.5,24850.0,24436.5,413.5,BULLISH,INSIDE_VA,True,True,False,False,False,False,True,True,False,False,MIXED,24162.92
