Date,NDX_Close,NDX_Return_Next,Date
2022-01-01,15592.1904296875,0.12441750342890856,2022-01-01
2022-01-08,15611.58984375,-7.514862130423438,2022-01-08
2022-01-15,14438.400390625,0.11226978404079713,2022-01-15
2022-01-22,14454.6103515625,1.6585660352067766,2022-01-22
2022-01-29,14694.349609375,-2.997817374264422,2022-01-29
2022-02-05,14253.83984375,-1.7139227560117432,2022-02-05
2022-02-12,14009.5400390625,1.2821271554003033,2022-02-12
2022-02-19,14189.16015625,-2.4760456169088174,2022-02-19
2022-02-26,13837.830078125,-3.8734396720719544,2022-02-26
2022-03-05,13301.830078125,8.406737970882471,2022-03-05
2022-03-12,14420.080078125,2.317806075810358,2022-03-12
2022-03-19,14754.3095703125,0.724536720038027,2022-03-19
2022-03-26,14861.2099609375,-3.5929119951604305,2022-03-26
2022-04-02,14327.259765625,-3.029538179582003,2022-04-02
2022-04-09,13893.2099609375,-3.8604458239527517,2022-04-09
2022-04-16,13356.8701171875,-3.758891926739183,2022-04-16
2022-04-23,12854.7998046875,-1.2545472018256842,2022-04-23
2022-04-30,12693.5302734375,-2.4117001040530717,2022-04-30
2022-05-07,12387.400390625,-4.454366986111924,2022-05-07
2022-05-14,11835.6201171875,7.146222980401706,2022-05-14
2022-05-21,12681.419921875,-1.0518510486937527,2022-05-21
2022-05-28,12548.0302734375,-5.699778733013606,2022-05-28
2022-06-04,11832.8203125,-4.790321015237675,2022-06-04
2022-06-11,11265.990234375,7.454820726165767,2022-06-11
2022-06-18,12105.849609375,-4.296847711309503,2022-06-18
2022-06-25,11585.6796875,4.661019092130836,2022-06-25
2022-07-02,12125.6904296875,-1.1716472008238554,2022-07-02
2022-07-09,11983.6201171875,3.4451159611015303,2022-07-09
2022-07-16,12396.4697265625,4.448847229613073,2022-07-16
2022-07-23,12947.9697265625,2.005879752654871,2022-07-23
2022-07-30,13207.6904296875,2.7119025041267175,2022-07-30
2022-08-06,13565.8701171875,-2.3807520179137565,2022-08-06
2022-08-13,13242.900390625,-4.815640455934156,2022-08-13
2022-08-20,12605.169921875,-4.020013179736059,2022-08-20
2022-08-27,12098.4404296875,4.048865737876373,2022-08-27
2022-09-03,12588.2900390625,-5.774494820141085,2022-09-03
2022-09-10,11861.3798828125,-4.638074607446551,2022-09-10
2022-09-17,11311.240234375,-3.0060409006182454,2022-09-17
2022-09-24,10971.2197265625,0.6220821540449117,2022-09-24
2022-10-01,11039.4697265625,-3.1469822813507298,2022-10-01
2022-10-08,10692.0595703125,5.782520231454624,2022-10-08
2022-10-15,11310.330078125,2.085526073803168,2022-10-15
2022-10-22,11546.2099609375,-5.968882341751924,2022-10-22
2022-10-29,10857.0302734375,8.842008063071894,2022-10-29
2022-11-05,11817.009765625,-1.184650238525009,2022-11-05
2022-11-12,11677.01953125,0.6766344954382664,2022-11-12
2022-11-19,11756.0302734375,2.0264450383882915,2022-11-19
2022-11-26,11994.259765625,-3.5927993550300186,2022-11-26
2022-12-03,11563.330078125,-2.763999206138068,2022-12-03
2022-12-10,11243.7197265625,-2.2970114653414586,2022-12-10
2022-12-17,10985.4501953125,-0.4159176808884557,2022-12-17
2022-12-24,10939.759765625,0.9194885985163381,2022-12-24
2022-12-31,11040.349609375,4.539085057138603,2022-12-31
2023-01-07,11541.48046875,0.6719225050674904,2023-01-07
2023-01-14,11619.0302734375,4.712693943050561,2023-01-14
2023-01-21,12166.599609375,3.343257403441391,2023-01-21
2023-01-28,12573.3603515625,-2.134993527439466,2023-01-28
2023-02-04,12304.919921875,0.4328330941050451,2023-02-04
2023-02-11,12358.1796875,-3.143903930026104,2023-02-11
2023-02-18,11969.650390625,2.683112448622915,2023-02-18
2023-02-25,12290.8095703125,-3.746940299094481,2023-02-25
2023-03-04,11830.2802734375,5.829106271669282,2023-03-04
2023-03-11,12519.8798828125,1.97421959466495,2023-03-11
2023-03-18,12767.0498046875,3.2450707957243807,2023-03-18
2023-03-25,13181.349609375,-0.9008940929352227,2023-03-25
2023-04-01,13062.599609375,0.12952951465232676,2023-04-01
2023-04-08,13079.51953125,-0.6020863366719809,2023-04-08
2023-04-15,13000.76953125,1.8862014478109312,2023-04-15
2023-04-22,13245.990234375,0.0991971774477074,2023-04-22
2023-04-29,13259.1298828125,0.6112754411778054,2023-04-29
2023-05-06,13340.1796875,3.473045773957084,2023-05-06
2023-05-13,13803.490234375,3.5854694245553542,2023-05-13
2023-05-20,14298.41015625,1.7360635866148888,2023-05-20
2023-05-27,14546.6396484375,-0.1256599277687065,2023-05-27
2023-06-03,14528.3603515625,3.8239660695967626,2023-06-03
2023-06-10,15083.919921875,-1.2757920628173047,2023-06-10
2023-06-17,14891.48046875,1.9321751976998147,2023-06-17
2023-06-24,15179.2099609375,-0.9378640385688919,2023-06-24
2023-07-01,15036.849609375,3.516361563331327,2023-07-01
2023-07-08,15565.599609375,-0.8989675374646122,2023-07-08
2023-07-15,15425.669921875,2.108561684985566,2023-07-15
2023-07-22,15750.9296875,-3.0221058379986454,2023-07-22
2023-07-29,15274.919921875,-1.616045194590443,2023-07-29
2023-08-05,15028.0703125,-2.2173869420402337,2023-08-05
2023-08-12,14694.83984375,1.680795687474257,2023-08-12
2023-08-19,14941.830078125,3.6744513260211997,2023-08-19
2023-08-26,15490.8603515625,-1.3597042257969538,2023-08-26
2023-09-02,15280.23046875,-0.5093514674675337,2023-09-02
2023-09-09,15202.400390625,-3.2975107112633406,2023-09-09
2023-09-16,14701.099609375,0.09618753274063252,2023-09-16
2023-09-23,14715.240234375,1.75328432217714,2023-09-23
2023-09-30,14973.240234375,0.14612657293955333,2023-09-30
2023-10-07,14995.1201171875,-2.895876998526148,2023-10-07
2023-10-14,14560.8798828125,-2.6128912812926286,2023-10-14
2023-10-21,14180.419921875,6.48126302016081,2023-10-21
2023-10-28,15099.490234375,2.845327068290149,2023-10-28
2023-11-04,15529.1201171875,1.9889737142650077,2023-11-04
2023-11-11,15837.990234375,0.9093295873956242,2023-11-11
2023-11-18,15982.009765625,0.09742399565721982,2023-11-18
2023-11-25,15997.580078125,0.5445220535674311,2023-11-25
2023-12-02,16084.6904296875,3.349512950949385,2023-12-02
2023-12-09,16623.44921875,0.9261084739342396,2023-12-09
2023-12-16,16777.400390625,0.28925397108670037,2023-12-16
2023-12-23,16825.9296875,-3.0901663587496797,2023-12-23
2023-12-30,16305.98046875,3.23157171771955,2023-12-30
2024-01-06,16832.919921875,2.857971643409396,2024-01-06
2024-01-13,17314.0,0.6180533997054427,2024-01-13
2024-01-20,17421.009765625,1.2727201586356873,2024-01-20
2024-01-27,17642.73046875,1.8119626554758073,2024-01-27
2024-02-03,17962.41015625,-1.5389342805080974,2024-02-03
2024-02-10,17685.98046875,1.4227591548832352,2024-02-10
2024-02-17,17937.609375,2.036507617113825,2024-02-17
2024-02-24,18302.91015625,-1.5541841984230254,2024-02-24
2024-03-02,18018.44921875,-1.1665777459431204,2024-03-02
2024-03-09,17808.25,2.9828279203458985,2024-03-09
2024-03-16,18339.439453125,-0.4621188134818266,2024-03-16
2024-03-23,18254.689453125,-0.8010463064873852,2024-03-23
2024-03-30,18108.4609375,-0.5796776627638223,2024-03-30
2024-04-06,18003.490234375,-5.364736677035387,2024-04-06
2024-04-13,17037.650390625,3.994978034057617,2024-04-13
2024-04-20,17718.30078125,0.9735696561971929,2024-04-20
2024-04-27,17890.80078125,1.5112733608512618,2024-04-27
2024-05-04,18161.1796875,2.1201859563948044,2024-05-04
2024-05-11,18546.23046875,1.4133283907296734,2024-05-11
2024-05-18,18808.349609375,-1.4445670374745312,2024-05-18
2024-05-25,18536.650390625,2.5047612073420877,2024-05-25
2024-06-01,19000.94921875,3.4674665718797293,2024-06-01
2024-06-08,19659.80078125,0.20665980648566507,2024-06-08
2024-06-15,19700.4296875,-0.08913788761746311,2024-06-15
2024-06-22,19682.869140625,3.6026331193577343,2024-06-22
2024-06-29,20391.970703125,-0.296589621623633,2024-06-29
2024-07-06,20331.490234375,-3.978415179731487,2024-07-06
2024-07-13,19522.619140625,-2.5557994077582857,2024-07-13
2024-07-20,19023.66015625,-3.06360890642553,2024-07-20
2024-07-27,18440.849609375,0.3917932282429648,2024-07-27
2024-08-03,18513.099609375,5.37684095520623,2024-08-03
2024-08-10,19508.51953125,1.0884967925671951,2024-08-10
2024-08-17,19720.869140625,-0.741491232370528,2024-08-17
2024-08-24,19574.640625,-5.891960420729303,2024-08-24
2024-08-31,18421.310546875,5.934861659777324,2024-08-31
2024-09-07,19514.58984375,1.4189403561237768,2024-09-07
2024-09-14,19791.490234375,1.0970821483309967,2024-09-14
2024-09-21,20008.619140625,0.13194509046052794,2024-09-21
2024-09-28,20035.01953125,1.1826850056492866,2024-09-28
2024-10-05,20271.970703125,0.25684902636018414,2024-10-05
2024-10-12,20324.0390625,0.13767179183210576,2024-10-12
2024-10-19,20352.01953125,-1.5668170215755284,2024-10-19
2024-10-26,20033.140625,5.411228737381268,2024-10-26
2024-11-02,21117.1796875,-3.4239838786473853,2024-11-02
2024-11-09,20394.130859375,1.873576334337157,2024-11-09
2024-11-16,20776.23046875,0.7418991241305406,2024-11-16
2024-11-23,20930.369140625,3.3056314235379913,2024-11-23
2024-11-30,21622.25,0.7307287631953097,2024-11-30
2024-12-07,21780.25,-2.2547932616705513,2024-12-07
2024-12-14,21289.150390625,0.8636753334504643,2024-12-14
2024-12-21,21473.01953125,-0.6839251218780595,2024-12-21
2024-12-28,21326.16015625,-2.244098677955131,2024-12-28
2025-01-04,20847.580078125,2.8472373095610903,2025-01-04
2025-01-11,21441.16015625,1.5523861906230563,2025-01-11
2025-01-18,21774.009765625,-1.3592305117922532,2025-01-18
2025-01-25,21478.05078125,0.061736354756058986,2025-01-25
2025-02-01,21491.310546875,2.9006090851944055,2025-02-01
2025-02-08,22114.689453125,-2.2636961557208735,2025-02-08
2025-02-15,21614.080078125,-3.375900890704475,2025-02-15
2025-02-22,20884.41015625,-3.2705784387240144,2025-02-22
2025-03-01,20201.369140625,-2.4588853961689083,2025-03-01
