Date,Close,High,Low,Open,Volume,fvg_bull,fvg_bear,range_hi,range_lo,equilibrium,is_discount,is_premium,prev_low,prev_high,liquidity_sweep_bull,liquidity_sweep_bear,vol_ma,high_vol,is_down,bullish_ob,ret_5d
2020-01-02,8872.2197265625,8873.6298828125,8786.900390625,8802.2197265625,2862700000,False,False,,,,False,False,,,False,False,,False,False,False,0.013233459029253547
2020-01-03,8793.900390625,8843.650390625,8755.169921875,8755.169921875,2586520000,False,False,,,,False,False,8786.900390625,8873.6298828125,True,False,,False,False,False,0.019643076466576037
2020-01-06,8848.51953125,8849.98046875,8713.8896484375,8713.8896484375,2810450000,False,False,,,,False,False,8755.169921875,8843.650390625,True,False,,False,False,False,0.025103731600581103
2020-01-07,8846.4501953125,8872.4697265625,8821.6796875,8857.1396484375,2381740000,False,False,,,,False,False,8713.8896484375,8849.98046875,False,True,,False,True,False,0.02113500019042336
2020-01-08,8912.3701171875,8953.5498046875,8834.9404296875,8845.4501953125,2472620000,True,False,,,,False,False,8821.6796875,8872.4697265625,False,False,,False,False,False,0.013834681803633453
2020-01-09,8989.6298828125,9004.5498046875,8938.5302734375,8990.0400390625,2540960000,False,False,,,,False,False,8834.9404296875,8953.5498046875,False,False,,False,True,False,0.015058475037589503
2020-01-10,8966.6396484375,9024.8701171875,8951.830078125,9021.8798828125,2382900000,False,False,,,,False,False,8938.5302734375,9004.5498046875,False,True,,False,True,False,0.02309570010974915
2020-01-13,9070.650390625,9071.5302734375,8991.349609375,9007.9404296875,2536820000,False,False,,,,False,False,8951.830078125,9024.8701171875,False,False,,False,False,False,0.010581324166864636
2020-01-14,9033.419921875,9080.16015625,9020.919921875,9068.01953125,2553160000,False,False,,,,False,False,8991.349609375,9071.5302734375,False,True,,False,True,False,0.0171762364189747
2020-01-15,9035.669921875,9078.8701171875,9008.9501953125,9039.3095703125,2443220000,False,False,,,,False,False,9020.919921875,9080.16015625,True,False,,False,True,False,0.02006608789859121
2020-01-16,9125.0,9126.0703125,9066.3095703125,9088.080078125,2312110000,True,False,,,,False,False,9008.9501953125,9078.8701171875,False,False,,False,False,False,0.0018049015410959157
2020-01-17,9173.73046875,9176.4697265625,9118.98046875,9159.48046875,2542540000,True,False,,,,False,False,9066.3095703125,9126.0703125,False,False,,False,False,False,-0.024150565792695255
2020-01-21,9166.6298828125,9187.419921875,9141.7802734375,9145.6396484375,2686610000,True,False,,,,False,False,9118.98046875,9176.4697265625,False,True,,False,False,False,-0.00825823626351907
2020-01-22,9188.580078125,9242.48046875,9179.26953125,9212.349609375,2454580000,False,False,,,,False,False,9141.7802734375,9187.419921875,False,False,,False,True,False,-0.009464979988534461
2020-01-23,9216.98046875,9221.1298828125,9145.23046875,9186.1396484375,2465850000,False,False,,,,False,False,9179.26953125,9242.48046875,True,False,,False,False,False,-0.008776260867022323
2020-01-24,9141.4697265625,9272.3701171875,9101.4404296875,9266.349609375,2622970000,False,True,,,,False,False,9145.23046875,9221.1298828125,False,True,,False,True,False,-0.016404360067151957
2020-01-27,8952.1796875,9001.4404296875,8910.9697265625,8913.16015625,2593910000,False,False,,,,False,False,9101.4404296875,9272.3701171875,False,False,,False,False,False,0.01944227968223511
2020-01-28,9090.9296875,9111.3203125,8994.2802734375,9013.23046875,2169020000,True,False,,,,False,False,8910.9697265625,9001.4404296875,False,False,,False,False,False,0.026744226516986824
2020-01-29,9101.6103515625,9153.080078125,9067.2900390625,9141.51953125,2234620000,False,False,,,,False,False,8994.2802734375,9111.3203125,False,True,,False,True,False,0.029211327107829588
2020-01-30,9136.08984375,9140.6904296875,9019.7197265625,9038.919921875,2345370000,False,False,9272.3701171875,8713.8896484375,8993.1298828125,False,True,9067.2900390625,9153.080078125,True,False,2499933500.0,False,False,False,0.03391276612028449
2020-01-31,8991.509765625,9170.2197265625,8961.58984375,9169.91015625,2696090000,False,False,9272.3701171875,8713.8896484375,8993.1298828125,True,False,9019.7197265625,9140.6904296875,False,True,2491603000.0,True,True,True,0.0455529554464682
2020-02-03,9126.23046875,9148.5,9031.0703125,9033.51953125,2427320000,True,False,9272.3701171875,8713.8896484375,8993.1298828125,False,True,8961.58984375,9170.2197265625,False,False,2483643000.0,False,False,False,0.042800735346047114
2020-02-04,9334.0595703125,9352.9599609375,9224.8603515625,9256.9404296875,2447340000,True,False,9352.9599609375,8821.6796875,9087.31982421875,False,True,9031.0703125,9148.5,False,False,2465487500.0,False,False,False,0.019691408637950936
2020-02-05,9367.48046875,9442.75,9311.8798828125,9441.33984375,2470240000,True,False,9442.75,8834.9404296875,9138.84521484375,False,True,9224.8603515625,9352.9599609375,False,False,2469912500.0,True,True,False,0.02623114372986657
2020-02-06,9445.919921875,9448.7197265625,9357.8603515625,9395.6904296875,2313860000,False,False,9448.7197265625,8910.9697265625,9179.8447265625,False,True,9311.8798828125,9442.75,False,False,2461974500.0,False,False,False,0.01585661054469001
2020-02-07,9401.099609375,9453.240234375,9376.91015625,9397.76953125,2243720000,False,False,9453.240234375,8910.9697265625,9182.10498046875,False,True,9357.8603515625,9448.7197265625,False,True,2447112500.0,False,False,False,0.023665366605427396
2020-02-10,9516.83984375,9517.740234375,9373.2001953125,9373.2001953125,2187520000,True,False,9517.740234375,8910.9697265625,9214.35498046875,False,True,9376.91015625,9453.240234375,True,False,2437343500.0,False,False,False,0.011869482180230762
2020-02-11,9517.8603515625,9600.0498046875,9493.6298828125,9567.8095703125,2450070000,True,False,9600.0498046875,8910.9697265625,9255.509765625,False,True,9373.2001953125,9517.740234375,False,False,2433006000.0,True,True,False,0.02110454553522878
2020-02-12,9613.2001953125,9615.91015625,9552.0302734375,9569.8203125,2366510000,False,False,9615.91015625,8910.9697265625,9263.43994140625,False,True,9493.6298828125,9600.0498046875,False,False,2423673500.0,False,False,False,0.0015218535467131922
2020-02-13,9595.7001953125,9636.41015625,9532.740234375,9540.669921875,2254870000,False,False,9636.41015625,8910.9697265625,9273.68994140625,False,True,9552.0302734375,9615.91015625,True,True,2414256000.0,False,False,False,-0.015528805880970609
2020-02-14,9623.580078125,9634.75,9583.080078125,9613.8798828125,2226720000,False,False,9636.41015625,8910.9697265625,9273.68994140625,False,True,9532.740234375,9636.41015625,False,False,2409986500.0,False,False,False,-0.05652264447291633
2020-02-18,9629.7998046875,9647.7197265625,9567.2802734375,9567.2802734375,2279420000,True,False,9647.7197265625,8910.9697265625,9279.3447265625,False,True,9583.080078125,9634.75,True,True,2396830500.0,False,False,False,-0.08254893181819334
2020-02-19,9718.73046875,9736.5703125,9676.0703125,9683.9404296875,2470860000,False,False,9736.5703125,8910.9697265625,9323.77001953125,False,True,9567.2802734375,9647.7197265625,False,False,2386043000.0,True,False,False,-0.0869424978747948
2020-02-20,9627.830078125,9714.23046875,9513.23046875,9696.66015625,2745730000,False,True,9736.5703125,8910.9697265625,9323.77001953125,False,True,9676.0703125,9736.5703125,False,False,2400600500.0,True,True,False,-0.12372052129964217
2020-02-21,9446.6904296875,9594.0,9406.3798828125,9582.5400390625,2750160000,False,True,9736.5703125,8910.9697265625,9323.77001953125,False,True,9513.23046875,9714.23046875,False,False,2414816000.0,True,True,False,-0.10425453854901856
2020-02-24,9079.6298828125,9194.91015625,9028.8701171875,9055.2998046875,3188590000,False,True,9736.5703125,8910.9697265625,9323.77001953125,True,False,9406.3798828125,9594.0,False,False,2443097000.0,True,False,False,-0.022208990527710526
2020-02-25,8834.8701171875,9183.7802734375,8807.1103515625,9167.330078125,3595520000,False,False,9736.5703125,8807.1103515625,9271.84033203125,True,False,9028.8701171875,9194.91015625,False,False,2493177500.0,True,True,False,-0.02720808338142533
2020-02-26,8873.759765625,9032.8798828125,8813.919921875,8883.009765625,3587950000,False,True,9736.5703125,8807.1103515625,9271.84033203125,True,False,8807.1103515625,9183.7802734375,False,False,2564124000.0,True,True,False,0.008510542296293666
2020-02-27,8436.669921875,8786.6796875,8430.5302734375,8632.5400390625,4559900000,False,True,9736.5703125,8430.5302734375,9083.55029296875,True,False,8813.919921875,9032.8798828125,False,False,2680388000.0,True,True,False,0.027853434655029652
2020-02-28,8461.830078125,8490.4697265625,8133.85009765625,8133.85009765625,5320020000,False,False,9736.5703125,8133.85009765625,8935.210205078125,True,False,8430.5302734375,8786.6796875,True,False,2829120500.0,True,False,False,0.008096329634662336
2020-03-02,8877.98046875,8879.3896484375,8446.5,8569.91015625,4249020000,True,False,9736.5703125,8133.85009765625,8935.210205078125,True,False,8133.85009765625,8490.4697265625,False,False,2906767000.0,True,False,False,-0.10474799836146576
2020-03-03,8594.490234375,9000.4599609375,8516.580078125,8892.6796875,4336700000,False,False,9736.5703125,8133.85009765625,8935.210205078125,True,False,8446.5,8879.3896484375,False,True,3002236000.0,True,True,False,-0.025856181933419875
2020-03-04,8949.2802734375,8952.1103515625,8669.759765625,8745.6396484375,3634760000,False,False,9736.5703125,8133.85009765625,8935.210205078125,False,True,8516.580078125,9000.4599609375,False,False,3061607000.0,True,False,False,-0.10538949808616549
2020-03-05,8671.66015625,8864.1904296875,8613.91015625,8713.1904296875,3763860000,False,True,9736.5703125,8133.85009765625,8935.210205078125,True,False,8669.759765625,8952.1103515625,True,False,3126288000.0,True,True,False,-0.16236916905599008
