Datetime,Open,High,Low,Close
2017-02-14 18:00:00+00:00,5274.5,5274.5,5273.25,5273.0
2025-11-19 18:15:00+00:00,25089.0,25328.0,25050.75,25046.25
2025-11-19 18:30:00+00:00,25052.0,25346.25,25045.5,25078.5
2025-11-19 18:45:00+00:00,25090.5,25357.75,25082.75,25357.75
2025-11-19 19:00:00+00:00,25114.0,25347.5,25096.0,25103.75
2025-11-19 19:15:00+00:00,25105.75,25380.5,25102.0,25141.0
2025-11-19 19:30:00+00:00,25148.0,25399.5,25138.25,25146.0
2025-11-19 19:45:00+00:00,25162.0,25154.5,25124.5,25126.25
2025-11-19 20:00:00+00:00,25131.75,25386.0,25110.25,25123.25
2025-11-19 20:15:00+00:00,25135.0,25410.0,25115.5,25410.0
2025-11-19 20:30:00+00:00,25156.0,25150.5,25142.75,25135.75
2025-11-19 20:45:00+00:00,25142.0,25399.5,25136.75,25149.75
2025-11-19 21:00:00+00:00,25160.0,25156.0,25147.25,25145.25
2025-11-19 21:15:00+00:00,25146.75,25408.0,25138.0,25139.75
2025-11-19 21:30:00+00:00,25137.75,25415.0,25134.25,25144.0
2025-11-19 21:45:00+00:00,25154.5,25163.25,25149.25,25165.0
2025-11-19 22:00:00+00:00,25179.5,25438.0,25167.75,25438.0
2025-11-19 22:15:00+00:00,25181.25,25190.75,25177.75,25188.75
2025-11-19 22:30:00+00:00,25189.5,25185.0,25170.5,25174.75
2025-11-19 22:45:00+00:00,25172.25,25410.0,25159.0,25166.0
2025-11-19 23:00:00+00:00,25174.25,25440.25,25162.5,25175.25
2025-11-19 23:15:00+00:00,25163.75,25440.0,25157.75,25164.5
2025-11-19 23:30:00+00:00,25174.25,25180.0,25164.25,25183.75
2025-11-19 23:45:00+00:00,25443.5,25443.5,25179.0,25181.5
2025-11-20 00:00:00+00:00,25187.0,25202.25,25184.0,25191.75
2025-11-20 00:15:00+00:00,25191.25,25456.5,25186.25,25187.75
2025-11-20 00:30:00+00:00,25183.5,25179.5,25175.75,25181.25
2025-11-20 00:45:00+00:00,25178.0,25432.75,25159.25,25432.75
2025-11-20 01:00:00+00:00,25176.0,25432.0,25164.0,25173.75
2025-11-20 01:15:00+00:00,25171.25,25406.0,25143.0,25136.0
2025-11-20 01:30:00+00:00,25161.25,25170.75,25143.75,25175.5
2025-11-20 01:45:00+00:00,25169.5,25432.25,25156.25,25175.0
2025-11-20 02:00:00+00:00,25176.5,25173.0,25168.5,25172.5
2025-11-20 02:15:00+00:00,25179.25,25459.5,25177.5,25453.5
2025-11-20 02:30:00+00:00,25196.25,25467.25,25171.25,25421.0
2025-11-20 02:45:00+00:00,25159.25,25153.75,25151.25,25157.5
2025-11-20 03:00:00+00:00,25150.5,25400.5,25143.25,25157.25
2025-11-20 03:15:00+00:00,25154.75,25156.75,25150.25,25144.75
2025-11-20 03:30:00+00:00,25164.75,25410.0,25144.5,25161.0
2025-11-20 03:45:00+00:00,25176.75,25168.25,25145.25,25142.0
2025-11-20 04:00:00+00:00,25144.5,25381.0,25124.0,25135.5
2025-11-20 04:15:00+00:00,25128.25,25368.0,25107.75,25099.5
2025-11-20 04:30:00+00:00,25087.5,25081.5,25071.0,25091.0
2025-11-20 04:45:00+00:00,25076.0,25061.0,25056.25,25061.0
2025-11-20 05:00:00+00:00,25063.75,25292.0,25032.75,25046.0
2025-11-20 05:15:00+00:00,25044.75,25326.75,25036.75,25068.25
2025-11-20 05:30:00+00:00,25087.5,25344.5,25072.25,25093.0
2025-11-20 05:45:00+00:00,25104.25,25119.5,25098.0,25121.25
2025-11-20 06:00:00+00:00,25116.25,25106.5,25063.25,25090.0
2025-11-20 06:15:00+00:00,25091.25,25077.0,25051.0,25051.75
2025-11-20 06:30:00+00:00,25075.25,25383.25,25067.25,25385.0
2025-11-20 06:45:00+00:00,25125.25,25344.25,25073.25,25086.25
2025-11-20 07:00:00+00:00,25100.0,25085.0,25063.25,25085.25
2025-11-20 07:15:00+00:00,25077.75,25370.0,25077.75,25096.75
2025-11-20 07:30:00+00:00,25097.75,25372.0,25092.75,25119.0
2025-11-20 07:45:00+00:00,25121.5,25147.75,25116.25,25147.75
2025-11-20 08:00:00+00:00,25159.25,25430.0,25156.0,25160.75
2025-11-20 08:15:00+00:00,25173.0,25164.25,25127.25,25130.25
2025-11-20 08:30:00+00:00,25200.5,25461.0,25130.75,25194.0
2025-11-20 08:45:00+00:00,25214.25,25510.0,25199.5,25232.0
2025-11-20 09:00:00+00:00,25235.75,25460.75,25212.75,25460.75
2025-11-20 09:15:00+00:00,25210.0,25223.0,25207.75,25228.0
2025-11-20 09:30:00+00:00,25249.0,25473.5,25160.5,25491.0
2025-11-20 09:45:00+00:00,25221.0,25515.0,25212.25,25272.5
2025-11-20 10:00:00+00:00,25550.0,25550.0,25192.5,25463.75
2025-11-20 10:15:00+00:00,25440.75,25513.25,25203.25,25513.25
2025-11-20 10:30:00+00:00,25275.0,25542.5,25258.5,25285.75
2025-11-20 10:45:00+00:00,25300.5,25538.25,25170.0,25198.0
2025-11-20 11:00:00+00:00,25164.75,25364.25,25063.0,25264.25
2025-11-20 11:15:00+00:00,25012.0,25209.25,24921.25,25165.5
2025-11-20 11:30:00+00:00,24922.5,25124.75,24761.25,25010.0
2025-11-20 11:45:00+00:00,24768.75,24961.5,24604.0,24598.75
2025-11-20 12:00:00+00:00,24869.75,24827.5,24554.25,24725.0
2025-11-20 12:15:00+00:00,24711.5,24718.5,24625.75,24718.5
2025-11-20 12:30:00+00:00,24500.25,24668.0,24422.25,24662.0
