Date,Close,High,Low,Open,Volume,fvg_up,fvg_down,vol_ma,high_vol,is_down_candle,bullish_ob
2020-01-02,8872.2197265625,8873.6298828125,8786.900390625,8802.2197265625,2862700000,False,False,,False,False,False
2020-01-03,8793.900390625,8843.650390625,8755.169921875,8755.169921875,2586520000,False,False,,False,False,False
2020-01-06,8848.51953125,8849.98046875,8713.8896484375,8713.8896484375,2810450000,False,False,,False,False,False
2020-01-07,8846.4501953125,8872.4697265625,8821.6796875,8857.1396484375,2381740000,False,False,,False,True,False
2020-01-08,8912.3701171875,8953.5498046875,8834.9404296875,8845.4501953125,2472620000,True,False,,False,False,False
2020-01-09,8989.6298828125,9004.5498046875,8938.5302734375,8990.0400390625,2540960000,False,False,,False,True,False
2020-01-10,8966.6396484375,9024.8701171875,8951.830078125,9021.8798828125,2382900000,False,False,,False,True,False
2020-01-13,9070.650390625,9071.5302734375,8991.349609375,9007.9404296875,2536820000,False,False,,False,False,False
2020-01-14,9033.419921875,9080.16015625,9020.919921875,9068.01953125,2553160000,False,False,,False,True,False
2020-01-15,9035.669921875,9078.8701171875,9008.9501953125,9039.3095703125,2443220000,False,False,,False,True,False
2020-01-16,9125.0,9126.0703125,9066.3095703125,9088.080078125,2312110000,True,False,,False,False,False
2020-01-17,9173.73046875,9176.4697265625,9118.98046875,9159.48046875,2542540000,True,False,,False,False,False
2020-01-21,9166.6298828125,9187.419921875,9141.7802734375,9145.6396484375,2686610000,True,False,,False,False,False
2020-01-22,9188.580078125,9242.48046875,9179.26953125,9212.349609375,2454580000,False,False,,False,True,False
2020-01-23,9216.98046875,9221.1298828125,9145.23046875,9186.1396484375,2465850000,False,False,,False,False,False
2020-01-24,9141.4697265625,9272.3701171875,9101.4404296875,9266.349609375,2622970000,False,True,,False,True,False
2020-01-27,8952.1796875,9001.4404296875,8910.9697265625,8913.16015625,2593910000,False,False,,False,False,False
2020-01-28,9090.9296875,9111.3203125,8994.2802734375,9013.23046875,2169020000,True,False,,False,False,False
2020-01-29,9101.6103515625,9153.080078125,9067.2900390625,9141.51953125,2234620000,False,False,,False,True,False
2020-01-30,9136.08984375,9140.6904296875,9019.7197265625,9038.919921875,2345370000,False,False,2499933500.0,False,False,False
2020-01-31,8991.509765625,9170.2197265625,8961.58984375,9169.91015625,2696090000,False,False,2491603000.0,False,True,False
2020-02-03,9126.23046875,9148.5,9031.0703125,9033.51953125,2427320000,True,False,2483643000.0,False,False,False
2020-02-04,9334.0595703125,9352.9599609375,9224.8603515625,9256.9404296875,2447340000,True,False,2465487500.0,False,False,False
